canadian_and_foreign_direct_investment,countries_or_regions,2015,2016,2017,2018,2019,2020,series
Foreign direct investment in Canada - total book value,French Guiana,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Gabon,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Gambia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Georgia,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,German Democratic Republic (East),0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Germany,15005.0,15943.0,16128.0,16355.0,17547.0,18224.0,FDI IIC
Foreign direct investment in Canada - total book value,Ghana,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Greece,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Grenada,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Guadeloupe,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Guatemala,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Guernsey,241.0,177.0,173.0,39.0,177.0,177.0,FDI IIC
Foreign direct investment in Canada - total book value,Guinea,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Foreign direct investment in Canada - total book value,Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
