Trade,Year,Principal_trading_partners,VALUE,iso
Balances,2015,Netherlands,-659.0,NLD
Balances,2015,Norway,243.0,NOR
Balances,2015,Other European Union countries not elsewhere classified,-4513.0,Other European Union countries not elsewhere classified
Balances,2015,Other countries not elsewhere classified,-5641.0,Other countries not elsewhere classified
Balances,2015,Peru,-2288.0,PER
Balances,2015,Russian Federation,-15.0,RUS
Balances,2015,Saudi Arabia,-780.0,SAU
Balances,2015,Singapore,647.0,SGP
Balances,2015,South Korea,-2319.0,South Korea
Balances,2015,Spain,-1098.0,ESP
Balances,2015,Switzerland,-4065.0,CHE
Balances,2015,Taiwan,-1894.0,TWN
Balances,2015,Total of all countries,-23751.0,Total of all countries
Balances,2015,Turkey,178.0,TUR
Balances,2015,United Kingdom,7873.0,GBR
Balances,2015,United States,33740.0,USA
Balances,2016,Algeria,-1261.0,DZA
Balances,2016,Australia,80.0,AUS
Balances,2016,Belgium,173.0,BEL
Balances,2016,Brazil,-1148.0,BRA
Balances,2016,China,-15314.0,CHN
Balances,2016,European Union excluding the United Kingdom,-20712.0,GBR
Balances,2016,France,-928.0,FRA
Balances,2016,Germany,-10152.0,DEU
Balances,2016,Hong Kong,-1738.0,HKG
Balances,2016,India,1102.0,IND
Balances,2016,Indonesia,355.0,IDN
Balances,2016,Iraq,132.0,IRQ
Balances,2016,Italy,-3143.0,ITA
Balances,2016,Japan,-749.0,JPN
Balances,2016,Mexico,-10019.0,MEX
Balances,2016,Netherlands,-1882.0,NLD
Balances,2016,Norway,100.0,NOR
Balances,2016,Other European Union countries not elsewhere classified,-4544.0,Other European Union countries not elsewhere classified
